S = 10;
R = 10;
F = 5;
P = 98;
W = 7;
T = 4;
U = 8;
N = 40;

vr = [0.10068416 1.11329631 0.5661488  1.24385554 1.46282482 0.91781375
 1.0807598  0.3660831  1.05370589 0.25737987];
cf0 = [[[[4551 8937 6767 7552 6056]
   [6949 8691 7946 6564 4099]
   [4946 5147 6021 4477 3879]
   [4286 4872 9313 7023 9775]
   [9939 1161 9008 7315 8393]
   [1516 7159 6387 5874 7781]
   [4910 7714 7027 4590 8163]
   [2233 9145 9130 5987 2403]
   [7824 3674 2182 9711 6964]
   [9444 7334 9860 4562 2776]]

  [[9864 5961 8371 2107 6687]
   [6897 4666 1255 5387 1204]
   [8621 4233 9982 9942 9777]
   [8414 7054 8683 7776 6068]
   [3464 6802 7173 6200 6592]
   [5652 1119 4097 7128 4706]
   [3474 3187 7829 5851 3349]
   [9516 6963 4154 9197 7699]
   [2399 6130 8824 2870 4812]
   [3390 3542 5085 2309 1481]]

  [[5674 5918 7696 8824 6043]
   [4711 3329 1435 2088 8555]
   [6566 5708 3945 4782 4574]
   [7672 8897 4158 4641 6517]
   [6132 8338 4379 2422 5395]
   [8261 5560 7917 7986 8916]
   [5835 9643 4404 7648 4269]
   [6740 5952 3439 5234 3033]
   [2976 8943 2690 2545 1330]
   [3298 1157 5101 6058 3292]]

  [[7393 6568 9715 6904 8522]
   [1534 8932 9772 2020 8493]
   [3006 4464 7988 3402 4550]
   [6011 4796 3487 4491 1781]
   [2878 7511 7674 6741 7223]
   [3858 1511 4440 7792 8184]
   [1263 9275 4417 2455 1769]
   [5083 4189 8164 2213 4471]
   [8942 4694 2260 8985 2109]
   [3213 9547 6947 4656 9539]]]


 [[[7994 3740 3743 8240 6068]
   [3442 7209 4533 4850 3930]
   [7106 4270 7891 8316 1287]
   [3346 2114 5976 4450 7186]
   [7492 5873 5817 2651 7403]
   [7879 7605 9875 8360 4358]
   [1964 6226 3733 9086 7432]
   [9283 9032 4969 6788 3871]
   [5959 2899 3518 5639 7238]
   [6380 2646 6679 2378 2485]]

  [[5459 5435 2937 7453 2587]
   [8786 2484 8586 9481 4998]
   [8458 2409 5220 8064 8059]
   [4588 5415 6863 2894 1032]
   [4656 3630 7653 7438 3044]
   [7765 5351 3725 4494 7209]
   [4269 6590 6083 6638 6289]
   [5502 5643 9575 7985 5781]
   [4864 7689 4220 3935 8590]
   [2421 4297 8079 6735 3559]]

  [[2119 7711 5340 9039 6933]
   [2141 9927 6890 9861 1507]
   [9297 1281 8844 7788 3862]
   [8523 1979 9398 1434 5197]
   [3825 6090 1477 2817 7700]
   [2125 2493 3099 5992 3103]
   [6008 8651 1387 2560 8684]
   [5500 3093 8904 3111 2474]
   [8063 1808 6162 7821 2806]
   [2020 2785 7031 9317 7043]]

  [[3471 5738 9242 5771 8003]
   [8168 1840 2010 2283 6020]
   [6566 1593 6048 8190 1393]
   [8225 2992 3239 9989 9028]
   [3050 1870 2149 3971 6819]
   [5845 6297 3904 3215 6367]
   [1749 8120 4495 6256 2509]
   [7565 9767 1044 2077 9966]
   [4575 7470 2054 9660 2001]
   [8109 9415 7187 5861 1098]]]


 [[[6013 3741 2612 8867 2755]
   [8902 4409 4323 5388 8698]
   [9380 2968 4423 9802 1901]
   [3314 6155 9087 9522 3186]
   [9641 6546 6506 2682 2236]
   [1034 8952 7093 8465 6395]
   [3038 2097 2533 1672 9349]
   [5588 3767 8771 3938 1017]
   [9608 5413 5214 2740 6779]
   [8537 5591 1542 3889 3149]]

  [[6235 6692 1355 8742 3826]
   [5534 7647 9993 2765 5367]
   [1330 2083 1590 8962 7782]
   [7416 3440 2882 2521 7477]
   [1116 4818 2656 9597 1624]
   [2080 8650 4571 3597 3159]
   [3720 7984 4812 8001 3019]
   [9341 5871 8098 1630 7815]
   [7346 2770 5665 4825 4306]
   [3544 9760 4859 5051 2545]]

  [[9489 2964 2144 9079 1178]
